team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playoffGame
T.B,2020,T.B,2020020421,T.B,DET,AWAY,20210311,Team Level,all,0.5703,0.708,0.6941,3600.0,44.085,4.541,2.935,9.698,1.284,22.87,17.673,4.424,4.567,4.448,44.0,15.0,21.0,80.0,4.0,2.0,0.0,12.0,3.0,17.0,21.0,40.0,55.0,4.0,11.0,43.0,18.0,3.0,4.0,46.0,7.0,6.0,1.107,0.961,2.473,1.0,0.0,3.0,77.338,59.0,58.171,1.0,0.699,0.586,0.586,4.654,4.667,4.588,19.563,3.421,1.24,3.881,0.623,9.241,7.594,3.269,3.43,3.277,23.0,3.0,7.0,33.0,6.0,3.0,1.0,3.0,2.0,1.0,11.0,17.0,20.0,7.0,17.0,28.0,10.0,3.0,7.0,15.0,7.0,4.0,0.429,0.981,2.011,2.0,3.0,1.0,34.176,26.0,26.614,6.0,0.283,0.707,0.707,2.996,3.005,2.978,0
TBL,2021,TBL,2021030125,TBL,TOR,AWAY,20220510,Team Level,4on5,0.3519,0.1111,0.2,438.0,0.95,0.228,0.05,0.09,0.025,0.171,0.436,0.228,0.228,0.228,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.228,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.011,0.0,0.0,0.239,0.239,0.239,2.993,0.42,0.242,0.604,0.089,1.732,0.914,0.419,0.42,0.419,2.0,2.0,4.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,4.0,1.0,0.0,0.0,1.0,3.0,0.0,0.027,0.393,0.0,0.0,1.0,0.0,8.0,4.0,4.0,0.0,0.061,0.0,0.0,0.48,0.48,0.48,1
NSH,2018,NSH,2018030152,NSH,DAL,HOME,20190413,Team Level,5on5,0.6149,0.6517,0.6613,2864.0,29.816,1.932,1.96,7.243,0.973,16.728,12.165,1.82,1.846,1.74,30.0,11.0,17.0,58.0,2.0,3.0,0.0,11.0,0.0,9.0,16.0,28.0,39.0,6.0,12.0,33.0,19.0,1.0,9.0,34.0,6.0,1.0,0.983,0.622,0.327,1.0,1.0,0.0,56.261,41.0,39.887,7.0,0.405,0.452,0.452,1.885,1.801,1.717,15.034,1.21,0.945,3.224,0.453,8.68,6.489,1.164,1.283,1.233,14.0,7.0,10.0,31.0,1.0,0.0,0.0,3.0,0.0,6.0,11.0,13.0,20.0,3.0,6.0,19.0,13.0,6.0,3.0,17.0,3.0,1.0,0.476,0.433,0.301,0.0,0.0,1.0,32.063,21.0,21.71,2.0,0.195,0.0,0.0,1.404,1.488,1.435,1
ATL,2008,ATL,2008021067,ATL,DET,HOME,20090320,Team Level,all,0.5334,0.4388,0.4524,3600.0,28.517,2.792,2.131,5.664,0.827,15.281,11.305,2.544,2.654,2.405,34.0,4.0,5.0,43.0,3.0,3.0,0.0,7.0,0.0,8.0,17.0,31.0,35.0,6.0,12.0,26.0,16.0,19.0,13.0,25.0,12.0,1.0,0.824,1.586,0.382,0.0,3.0,0.0,39.58,38.0,35.484,10.0,0.487,0.613,0.613,2.667,2.512,2.351,32.922,2.442,1.977,7.677,1.019,18.499,14.386,2.408,2.577,2.543,38.0,8.0,9.0,55.0,6.0,2.0,1.0,6.0,0.0,14.0,18.0,32.0,40.0,9.0,18.0,44.0,9.0,10.0,10.0,41.0,4.0,1.0,1.148,0.458,0.835,4.0,1.0,1.0,58.975,46.0,48.708,4.0,0.465,0.849,0.849,2.057,2.216,2.201,0
WSH,2019,WSH,2019020039,WSH,DAL,HOME,20191008,Team Level,4on5,0.0,0.0,0.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.247,0.019,0.14,0.506,0.071,1.26,1.003,0.019,0.019,0.019,3.0,0.0,4.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,0.0,0.031,0.0,0.0,0.05,0.05,0.05,0
ANA,2009,ANA,2009020875,ANA,L.A,HOME,20100208,Team Level,all,0.5599,0.5175,0.5,3600.0,33.23,3.053,2.654,7.464,1.106,19.252,13.471,2.988,3.043,2.978,33.0,14.0,12.0,59.0,4.0,4.0,2.0,4.0,2.0,15.0,18.0,29.0,43.0,5.0,10.0,24.0,39.0,6.0,9.0,37.0,8.0,2.0,1.356,1.172,0.525,1.0,2.0,1.0,60.175,47.0,47.503,4.0,0.61,0.73,0.73,2.932,2.92,2.904,35.349,2.4,2.807,8.347,1.145,18.646,13.655,2.303,2.432,2.335,37.0,10.0,8.0,55.0,2.0,4.0,0.0,9.0,1.0,18.0,13.0,35.0,45.0,4.0,8.0,28.0,31.0,5.0,11.0,37.0,9.0,1.0,0.891,1.221,0.288,0.0,1.0,1.0,53.876,47.0,46.367,5.0,0.633,0.393,0.393,2.641,2.664,2.574,0
BUF,2015,BUF,2015020883,BUF,PIT,HOME,20160221,Team Level,5on5,0.4434,0.5,0.5424,2939.0,22.991,1.544,1.338,5.712,0.765,12.242,10.398,1.523,1.453,1.433,23.0,9.0,7.0,39.0,0.0,3.0,0.0,6.0,0.0,9.0,14.0,23.0,32.0,2.0,4.0,22.0,30.0,5.0,4.0,27.0,5.0,0.0,0.721,0.823,0.0,0.0,0.0,0.0,36.609,32.0,30.135,0.0,0.276,0.471,0.471,1.35,1.265,1.257,19.809,1.938,1.281,4.838,0.622,10.26,8.061,1.89,2.088,2.038,20.0,7.0,12.0,39.0,2.0,1.0,0.0,5.0,1.0,7.0,11.0,18.0,25.0,3.0,6.0,34.0,11.0,0.0,4.0,18.0,6.0,3.0,0.514,0.604,0.82,1.0,1.0,0.0,42.564,27.0,29.33,2.0,0.273,0.39,0.39,1.821,1.974,1.965,0
DET,2021,DET,2021021275,DET,TOR,HOME,20220226,Team Level,all,0.4131,0.4505,0.4886,3600.0,28.994,2.006,1.822,7.445,1.149,17.219,13.359,1.966,1.839,1.803,33.0,10.0,7.0,50.0,7.0,4.0,1.0,9.0,0.0,9.0,14.0,26.0,36.0,0.0,0.0,23.0,14.0,4.0,4.0,36.0,4.0,3.0,0.773,0.427,0.805,5.0,1.0,1.0,44.337,43.0,38.647,0.0,0.381,0.815,0.815,1.572,1.449,1.441,32.577,2.85,1.926,7.304,1.066,17.594,14.26,2.779,3.153,3.075,39.0,6.0,16.0,61.0,10.0,2.0,1.0,6.0,0.0,7.0,20.0,29.0,35.0,3.0,6.0,33.0,9.0,3.0,3.0,30.0,12.0,3.0,0.809,1.3,0.741,3.0,4.0,3.0,69.91,45.0,50.624,3.0,0.399,0.298,0.298,2.951,3.263,3.21,0
MIN,2010,MIN,2010020826,MIN,STL,AWAY,20110211,Team Level,other,0.794,0.4615,0.4,36.0,3.041,0.532,0.238,0.601,0.114,1.559,0.956,0.517,0.532,0.517,4.0,0.0,2.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,1.0,0.051,0.147,0.334,0.0,0.0,1.0,6.0,4.0,4.0,0.0,0.072,0.334,0.334,0.269,0.269,0.268,3.921,0.138,0.205,0.843,0.131,2.32,2.363,0.137,0.138,0.137,3.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,6.0,0.0,0.0,2.0,3.0,0.0,0.0,6.0,0.0,0.0,0.138,0.0,0.0,0.0,0.0,0.0,7.0,6.0,6.0,0.0,0.048,0.0,0.0,0.186,0.186,0.184,0
VGK,2017,VGK,2017020968,VGK,L.A,AWAY,20180226,Team Level,4on5,0.3445,0.1667,0.2,368.0,1.65,0.369,0.101,0.221,0.048,0.481,0.78,0.369,0.369,0.369,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.106,0.263,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.023,0.0,0.0,0.392,0.392,0.392,5.935,0.702,0.5,1.573,0.257,3.471,1.497,0.613,0.702,0.613,7.0,1.0,2.0,10.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,6.0,7.0,0.0,0.0,5.0,1.0,0.0,2.0,5.0,2.0,1.0,0.172,0.281,0.249,0.0,1.0,0.0,10.0,8.0,8.0,1.0,0.122,0.446,0.446,0.377,0.377,0.338,0
NSH,2023,NSH,2023020502,NSH,PHI,AWAY,20231221,Team Level,5on4,0.8452,0.75,0.7,443.0,5.204,0.786,0.475,1.071,0.157,3.12,1.391,0.778,0.786,0.778,3.0,4.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,7.0,0.0,0.0,4.0,1.0,0.0,0.0,6.0,0.0,1.0,0.072,0.0,0.714,0.0,0.0,0.0,9.0,7.0,7.0,0.0,0.134,0.0,0.0,0.92,0.92,0.893,2.127,0.144,0.099,0.275,0.057,0.657,1.767,0.144,0.144,0.144,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,0.144,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.022,0.0,0.0,0.167,0.167,0.167,0
WSH,2013,WSH,2013020698,WSH,S.J,HOME,20140114,Team Level,other,0.7006,0.625,0.8,0.0,3.12,0.33,0.182,0.618,0.113,1.254,1.504,0.33,0.33,0.33,2.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.143,0.187,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.044,0.0,0.0,0.373,0.373,0.373,0.779,0.141,0.036,0.116,0.024,0.295,0.389,0.141,0.141,0.141,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.141,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.009,0.0,0.0,0.15,0.15,0.15,0
N.J,2018,N.J,2018021081,N.J,EDM,AWAY,20190313,Team Level,all,0.485,0.4032,0.4457,3600.0,29.929,3.84,1.889,6.577,0.912,14.985,12.796,3.654,3.955,3.765,35.0,6.0,9.0,50.0,6.0,2.0,0.0,7.0,0.0,14.0,12.0,29.0,35.0,7.0,17.0,34.0,25.0,8.0,7.0,30.0,5.0,6.0,0.759,0.65,2.432,2.0,1.0,3.0,53.626,41.0,43.746,6.0,0.435,0.441,0.441,3.834,3.949,3.81,35.363,4.077,2.736,8.164,1.242,21.098,13.683,3.842,3.943,3.708,39.0,12.0,23.0,74.0,3.0,2.0,0.0,4.0,1.0,23.0,18.0,36.0,48.0,6.0,15.0,33.0,31.0,6.0,11.0,35.0,10.0,6.0,1.263,1.199,1.615,2.0,0.0,1.0,70.413,51.0,48.519,7.0,0.605,0.52,0.52,4.163,4.013,3.789,0
COL,2017,COL,2017020060,COL,ANA,HOME,20171013,Team Level,other,1.0,0.75,1.0,89.0,2.21,1.064,0.15,0.268,0.058,0.982,0.479,1.045,1.064,1.045,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.289,0.775,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.046,0.0,0.0,1.11,1.11,1.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CBJ,2022,CBJ,2022020662,CBJ,CAR,HOME,20230112,Team Level,4on5,0.2539,0.0667,0.0833,383.0,0.781,0.049,0.032,0.122,0.023,0.208,0.567,0.049,0.049,0.049,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.049,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.007,0.0,0.0,0.056,0.056,0.056,8.229,0.144,0.811,2.005,0.262,5.361,2.417,0.138,0.144,0.138,8.0,3.0,3.0,14.0,0.0,1.0,0.0,1.0,2.0,7.0,0.0,8.0,11.0,0.0,0.0,6.0,0.0,0.0,1.0,11.0,0.0,0.0,0.144,0.0,0.0,0.0,0.0,0.0,14.0,11.0,11.0,0.0,0.204,0.044,0.044,0.304,0.304,0.288,0
MIN,2020,MIN,2020020865,MIN,ANA,HOME,20210508,Team Level,other,0.5848,0.4545,0.5556,178.0,3.733,1.0,0.168,0.548,0.09,1.482,1.712,1.0,1.0,1.0,3.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.091,0.191,0.718,0.0,1.0,0.0,5.0,5.0,5.0,0.0,0.042,0.0,0.0,1.042,1.042,1.042,3.162,0.71,0.227,0.491,0.092,1.275,1.205,0.71,0.71,0.71,4.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.07,0.132,0.508,0.0,1.0,0.0,6.0,4.0,4.0,0.0,0.073,0.0,0.0,0.783,0.783,0.783,0
PHI,2022,PHI,2022020250,PHI,CBJ,AWAY,20221115,Team Level,5on4,1.0,1.0,1.0,111.0,3.171,0.983,0.175,0.491,0.066,1.508,0.777,0.969,0.983,0.969,4.0,0.0,3.0,7.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.023,0.0,0.96,0.0,0.0,1.0,7.0,4.0,4.0,0.0,0.046,0.96,0.96,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
COL,2011,COL,2011020250,COL,PIT,AWAY,20111115,Team Level,all,0.4535,0.4135,0.411,3600.0,22.536,2.054,1.46,5.199,0.782,11.721,8.785,1.917,2.244,2.091,27.0,3.0,13.0,43.0,3.0,2.0,0.0,4.0,1.0,6.0,14.0,24.0,27.0,7.0,17.0,28.0,14.0,6.0,0.0,22.0,5.0,3.0,0.61,0.61,0.833,1.0,2.0,0.0,46.162,30.0,32.601,0.0,0.316,0.628,0.628,1.741,1.884,1.821,31.822,2.475,2.233,6.971,0.975,17.029,13.316,2.442,2.381,2.351,33.0,10.0,18.0,61.0,6.0,2.0,0.0,4.0,2.0,12.0,17.0,27.0,37.0,3.0,9.0,33.0,18.0,6.0,6.0,31.0,10.0,2.0,0.872,1.127,0.476,2.0,2.0,2.0,60.024,43.0,41.5,5.0,0.479,0.284,0.284,2.67,2.583,2.577,0
TBL,2022,TBL,2022020162,TBL,CAR,HOME,20221103,Team Level,other,0.6288,0.4,0.4545,35.0,3.571,0.332,0.291,0.703,0.124,2.133,1.418,0.327,0.332,0.327,4.0,1.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,0.0,1.0,1.0,3.0,2.0,0.0,0.138,0.193,0.0,0.0,1.0,0.0,6.0,5.0,5.0,0.0,0.082,0.0,0.0,0.414,0.414,0.408,4.253,0.196,0.315,0.786,0.142,2.866,1.695,0.191,0.196,0.191,5.0,1.0,3.0,9.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,5.0,6.0,1.0,2.0,5.0,0.0,1.0,0.0,5.0,1.0,0.0,0.102,0.094,0.0,0.0,0.0,0.0,9.0,6.0,6.0,0.0,0.101,0.0,0.0,0.297,0.297,0.284,0
NYI,2018,NYI,2018020783,NYI,T.B,HOME,20190201,Team Level,5on5,0.5273,0.4184,0.4267,3365.0,22.986,2.469,1.708,5.27,0.72,12.864,8.97,2.397,2.358,2.289,27.0,5.0,9.0,41.0,0.0,3.0,0.0,4.0,1.0,8.0,16.0,27.0,32.0,1.0,2.0,25.0,22.0,4.0,12.0,18.0,11.0,3.0,0.468,1.227,0.774,0.0,0.0,0.0,39.77,32.0,31.078,7.0,0.355,0.713,0.713,2.11,2.016,2.006,29.952,2.213,2.135,6.926,0.972,17.754,13.0,2.156,2.323,2.262,37.0,6.0,14.0,57.0,0.0,1.0,0.0,7.0,1.0,20.0,14.0,37.0,43.0,2.0,4.0,16.0,32.0,1.0,12.0,34.0,7.0,2.0,0.82,0.865,0.529,0.0,0.0,0.0,58.824,43.0,44.312,10.0,0.442,0.258,0.258,2.397,2.515,2.487,0
BUF,2009,BUF,2009021112,BUF,T.B,HOME,20100327,Team Level,other,1.0,1.0,1.0,1106.0,1.341,0.163,0.126,0.224,0.046,1.003,0.439,0.163,0.163,0.163,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.021,0.142,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.033,0.0,0.0,0.195,0.195,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PIT,2020,PIT,2020020109,PIT,BOS,AWAY,20210128,Team Level,4on5,0.36,0.5,0.5,165.0,0.661,0.045,0.037,0.093,0.018,0.246,0.561,0.039,0.045,0.039,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.008,0.0,0.0,0.053,0.053,0.046,0.674,0.08,0.051,0.134,0.02,0.5,0.216,0.08,0.08,0.08,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.012,0.0,0.0,0.092,0.092,0.092,0
FLA,2018,FLA,2018020267,FLA,PHI,AWAY,20181113,Team Level,other,0.0,0.0,0.0,1203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.542,0.181,0.143,0.271,0.033,0.957,0.415,0.176,0.181,0.176,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.029,0.151,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.035,0.0,0.0,0.216,0.216,0.211,0
CHI,2011,CHI,2011030173,CHI,ARI,HOME,20120417,Team Level,5on5,0.5754,0.54,0.5694,3607.0,29.84,2.041,1.79,7.134,0.908,16.801,12.326,1.999,1.983,1.943,32.0,9.0,13.0,54.0,1.0,1.0,0.0,4.0,2.0,14.0,19.0,31.0,40.0,3.0,6.0,32.0,35.0,11.0,9.0,33.0,6.0,2.0,0.782,0.619,0.639,1.0,0.0,0.0,53.612,41.0,41.031,9.0,0.366,0.338,0.338,2.069,2.016,1.982,22.759,1.506,1.42,5.397,0.711,12.26,9.706,1.464,1.558,1.515,24.0,7.0,15.0,46.0,1.0,1.0,0.0,5.0,1.0,11.0,12.0,23.0,30.0,4.0,8.0,17.0,37.0,9.0,6.0,26.0,4.0,1.0,0.762,0.448,0.295,1.0,0.0,0.0,46.403,31.0,31.089,5.0,0.292,0.295,0.295,1.503,1.55,1.538,1
CAR,2014,CAR,2014020327,CAR,FLA,AWAY,20141126,Team Level,5on5,0.5343,0.4667,0.4776,3020.0,22.511,1.776,1.458,4.457,0.695,13.208,10.406,1.688,1.779,1.691,27.0,5.0,10.0,42.0,0.0,0.0,0.0,8.0,1.0,12.0,11.0,27.0,32.0,1.0,2.0,19.0,27.0,2.0,3.0,25.0,6.0,1.0,0.763,0.757,0.256,0.0,0.0,0.0,40.95,32.0,30.858,1.0,0.298,0.0,0.0,2.075,2.078,1.975,24.357,1.548,1.373,5.524,0.824,14.129,11.601,1.528,1.544,1.523,27.0,8.0,13.0,48.0,1.0,2.0,1.0,7.0,0.0,10.0,15.0,26.0,34.0,3.0,6.0,28.0,30.0,4.0,3.0,30.0,4.0,1.0,0.864,0.471,0.214,0.0,1.0,0.0,49.136,35.0,36.213,0.0,0.273,0.189,0.189,1.632,1.628,1.612,0
NYR,2021,NYR,2021020861,NYR,STL,HOME,20220302,Team Level,all,0.6116,0.453,0.5341,3600.0,33.12,3.281,2.396,8.228,1.117,18.844,13.135,3.185,3.239,3.143,29.0,18.0,6.0,53.0,5.0,3.0,2.0,8.0,1.0,15.0,15.0,24.0,42.0,4.0,11.0,17.0,24.0,6.0,5.0,37.0,7.0,3.0,1.225,0.782,1.273,1.0,3.0,1.0,52.436,47.0,46.767,2.0,0.509,0.45,0.45,3.34,3.29,3.21,29.039,2.084,2.002,7.029,0.936,16.771,12.178,2.025,2.134,2.073,32.0,9.0,23.0,64.0,3.0,3.0,0.0,6.0,1.0,12.0,16.0,29.0,38.0,3.0,9.0,34.0,25.0,7.0,5.0,36.0,3.0,2.0,1.178,0.424,0.482,3.0,0.0,0.0,64.308,41.0,41.141,2.0,0.442,0.387,0.387,2.14,2.182,2.152,0
ATL,2009,ATL,2009020319,ATL,PIT,HOME,20091121,Team Level,5on5,0.3886,0.4607,0.4638,2859.0,22.445,1.193,1.218,5.104,0.727,12.71,11.048,1.184,1.087,1.079,26.0,6.0,9.0,41.0,0.0,0.0,0.0,7.0,1.0,8.0,16.0,26.0,32.0,5.0,16.0,30.0,18.0,5.0,4.0,28.0,4.0,0.0,0.713,0.48,0.0,0.0,0.0,0.0,36.583,32.0,28.94,1.0,0.243,0.0,0.196,1.24,1.121,1.117,26.491,1.877,1.505,6.838,0.939,14.41,11.43,1.827,2.08,2.025,26.0,11.0,11.0,48.0,2.0,3.0,0.0,5.0,3.0,7.0,17.0,24.0,35.0,5.0,16.0,17.0,17.0,7.0,2.0,27.0,9.0,1.0,0.753,0.853,0.272,1.0,1.0,0.0,54.502,37.0,41.313,1.0,0.301,0.436,0.436,1.742,1.934,1.928,0
OTT,2018,OTT,2018020295,OTT,PIT,HOME,20181117,Team Level,all,0.4067,0.3909,0.4205,3600.0,26.926,3.424,2.043,5.83,0.815,13.798,11.09,3.31,3.407,3.294,25.0,12.0,6.0,43.0,6.0,4.0,1.0,7.0,1.0,6.0,13.0,19.0,31.0,5.0,10.0,35.0,16.0,8.0,6.0,23.0,8.0,6.0,0.611,0.994,1.819,1.0,3.0,2.0,44.514,37.0,37.546,3.0,0.453,0.991,0.991,2.886,2.896,2.861,37.115,4.995,2.223,8.015,1.131,20.174,14.462,4.846,4.963,4.818,35.0,16.0,16.0,67.0,4.0,5.0,1.0,4.0,0.0,15.0,23.0,31.0,47.0,4.0,8.0,29.0,31.0,5.0,2.0,39.0,2.0,10.0,0.846,0.239,3.91,1.0,0.0,3.0,64.664,51.0,49.892,1.0,0.545,1.208,1.208,4.332,4.319,4.303,0
